instance,goal,defences
exp_acyclic_depvary_step10_batch_yyy01.pl,w2,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,w5,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,q4,
exp_acyclic_depvary_step10_batch_yyy01.pl,x5,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,z3,[b1 f1 a2 b2 c2 d4 b5 c5 f5 a1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,u2,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,t4,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,
exp_acyclic_depvary_step10_batch_yyy01.pl,u3,
exp_acyclic_depvary_step10_batch_yyy01.pl,v4,[f1 a2 b2 c2 d4 b5 c5 f5 a1 b1 b3 c3 e3 e4 c6]
exp_acyclic_depvary_step10_batch_yyy02.pl,p5,
exp_acyclic_depvary_step10_batch_yyy02.pl,c5,
exp_acyclic_depvary_step10_batch_yyy02.pl,q4,
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,
exp_acyclic_depvary_step10_batch_yyy02.pl,r5,
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,
exp_acyclic_depvary_step10_batch_yyy02.pl,b6,
exp_acyclic_depvary_step10_batch_yyy02.pl,p1,
exp_acyclic_depvary_step10_batch_yyy02.pl,u3,
exp_acyclic_depvary_step10_batch_yyy02.pl,e3,
exp_acyclic_depvary_step10_batch_yyy03.pl,s3,
exp_acyclic_depvary_step10_batch_yyy03.pl,y4,
exp_acyclic_depvary_step10_batch_yyy03.pl,x2,[a1 c1 f1 e2 c3 f3 b4 c4 d4 d5 b6 b1 a2 a3 e3 b5 e5 f5]
exp_acyclic_depvary_step10_batch_yyy03.pl,e4,
exp_acyclic_depvary_step10_batch_yyy03.pl,f3,[a1 c1 f1 e2 c3 f3 b4 c4 d4 d5 b6 b1 a2 a3 e3 b5 e5 f5]
exp_acyclic_depvary_step10_batch_yyy03.pl,u3,[a1 c1 f1 e2 c3 f3 b4 c4 d4 d5 b6 b1 a2 a3 e3 b5 e5 f5]
exp_acyclic_depvary_step10_batch_yyy03.pl,f4,
