instance,goal,adm_result,stb_result
exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,no
exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,yes
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,no
exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,no
exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,yes
exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,no
exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,no
exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,no
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,no
exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,no
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,no
exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,no
exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,no
exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,no
exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,yes
exp_acyclic_depvary_step10_batch_yyy03.pl,e4,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,yes
exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,yes
exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,yes
exp_acyclic_depvary_step10_batch_yyy03.pl,v1,no,no
exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,no
exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,no
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,yes
exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,yes
exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,yes
exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,yes
exp_acyclic_depvary_step10_batch_yyy04.pl,y1,no,no
exp_acyclic_depvary_step10_batch_yyy04.pl,p2,no,no
exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,no
exp_acyclic_depvary_step10_batch_yyy04.pl,a4,yes,yes
exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,yes
exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,no
exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,no
exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,yes
exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,yes
exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,yes
exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,no
exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,no
exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,yes
exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,no
exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,yes
exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,no
exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,yes
exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,no
exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,no
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,yes
exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,yes
exp_acyclic_depvary_step10_batch_yyy06.pl,c1,yes,yes
exp_acyclic_depvary_step10_batch_yyy06.pl,r4,no,no
exp_acyclic_depvary_step10_batch_yyy06.pl,y1,no,no
exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,yes
exp_acyclic_depvary_step10_batch_yyy07.pl,d4,no,no
exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,no
exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,no
exp_acyclic_depvary_step10_batch_yyy07.pl,z4,no,no
exp_acyclic_depvary_step10_batch_yyy07.pl,y1,no,no
exp_acyclic_depvary_step10_batch_yyy07.pl,r2,yes,yes
exp_acyclic_depvary_step10_batch_yyy07.pl,u2,yes,yes
exp_acyclic_depvary_step10_batch_yyy07.pl,a6,yes,yes
exp_acyclic_depvary_step10_batch_yyy07.pl,b3,yes,yes
exp_acyclic_depvary_step10_batch_yyy07.pl,y4,no,no
exp_acyclic_depvary_step10_batch_yyy08.pl,c3,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,e1,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,v5,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,a5,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,a4,no,no
exp_acyclic_depvary_step10_batch_yyy08.pl,z2,no,no
exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,t1,no,no
exp_acyclic_depvary_step10_batch_yyy08.pl,z4,yes,yes
exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,b2,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,yes
exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,yes
exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,yes
exp_acyclic_depvary_step10_batch_yyy09.pl,z4,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,e3,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,a3,no,no
exp_acyclic_depvary_step10_batch_yyy09.pl,q2,no,no
exp_acyclic_depvary_step10_batch_yyy10.pl,d5,yes,yes
exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,yes
exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,no
exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,yes
exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,no
exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,no
exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,no
exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,yes
exp_acyclic_depvary_step10_batch_yyy10.pl,x1,yes,yes
exp_acyclic_depvary_step10_batch_yyy10.pl,r3,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,s1,yes,yes
exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,no
exp_acyclic_depvary_step1_batch_yyy01.pl,b1,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,no
exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,no
exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,yes
exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,yes
exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,no
exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,no
exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,yes
exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,no
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,yes
exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,yes
exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,yes
exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,no
exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,no
exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,yes
exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,no
exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,yes
exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,no
exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,no
exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,no
exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,yes
exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,no
exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,yes
exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,no
exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,yes
exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,yes
exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,no
exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,no
exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,no
exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,no
exp_acyclic_depvary_step2_batch_yyy05.pl,z1,yes,no
exp_acyclic_depvary_step2_batch_yyy05.pl,b1,yes,no
exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,u1,yes,yes
exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,a1,yes,yes
exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,no
exp_acyclic_depvary_step2_batch_yyy06.pl,x3,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,d5,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,f1,yes,yes
exp_acyclic_depvary_step2_batch_yyy07.pl,w5,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,y3,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,x1,yes,yes
exp_acyclic_depvary_step2_batch_yyy07.pl,f2,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,c5,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,a5,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,d1,no,no
exp_acyclic_depvary_step2_batch_yyy07.pl,t1,yes,yes
exp_acyclic_depvary_step2_batch_yyy08.pl,s3,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,x3,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,s5,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,p3,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,d2,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,z3,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,y2,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,c6,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,z2,no,no
exp_acyclic_depvary_step2_batch_yyy08.pl,b5,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,u5,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,t4,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,b2,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,b3,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,p4,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,b4,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,z1,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,w4,no,no
exp_acyclic_depvary_step2_batch_yyy09.pl,d1,yes,yes
exp_acyclic_depvary_step2_batch_yyy09.pl,x4,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,u5,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,d4,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,t3,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,v4,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,f4,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,r2,yes,yes
exp_acyclic_depvary_step2_batch_yyy10.pl,v2,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,e1,no,no
exp_acyclic_depvary_step2_batch_yyy10.pl,s1,yes,yes
exp_acyclic_depvary_step2_batch_yyy10.pl,d2,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,u1,yes,yes
exp_acyclic_depvary_step3_batch_yyy01.pl,c2,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,a4,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,y1,yes,yes
exp_acyclic_depvary_step3_batch_yyy01.pl,q1,yes,yes
exp_acyclic_depvary_step3_batch_yyy01.pl,a2,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,s5,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,b4,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,z3,no,no
exp_acyclic_depvary_step3_batch_yyy01.pl,a3,no,no
exp_acyclic_depvary_step3_batch_yyy02.pl,d5,no,no
exp_acyclic_depvary_step3_batch_yyy02.pl,z5,no,no
exp_acyclic_depvary_step3_batch_yyy02.pl,b4,no,no
exp_acyclic_depvary_step3_batch_yyy02.pl,c2,yes,yes
exp_acyclic_depvary_step3_batch_yyy02.pl,r5,no,no
exp_acyclic_depvary_step3_batch_yyy02.pl,r1,yes,yes
exp_acyclic_depvary_step3_batch_yyy02.pl,p2,yes,yes
exp_acyclic_depvary_step3_batch_yyy02.pl,e2,yes,yes
exp_acyclic_depvary_step3_batch_yyy02.pl,d1,yes,yes
exp_acyclic_depvary_step3_batch_yyy02.pl,q1,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,p4,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,u4,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,z1,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,c6,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,y1,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,y2,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,e2,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,r3,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,f2,no,no
exp_acyclic_depvary_step3_batch_yyy03.pl,q2,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,t5,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,s4,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,u4,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,c5,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,e4,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,w1,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,s1,yes,yes
exp_acyclic_depvary_step3_batch_yyy04.pl,z3,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,r3,no,no
exp_acyclic_depvary_step3_batch_yyy04.pl,q2,yes,yes
exp_acyclic_depvary_step3_batch_yyy05.pl,e1,yes,yes
exp_acyclic_depvary_step3_batch_yyy05.pl,f1,yes,yes
exp_acyclic_depvary_step3_batch_yyy05.pl,c5,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,r4,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,a3,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,x1,yes,yes
exp_acyclic_depvary_step3_batch_yyy05.pl,s5,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,b4,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,r5,no,no
exp_acyclic_depvary_step3_batch_yyy05.pl,e4,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,c4,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,u4,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,a1,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,u2,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,x4,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,z5,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,e1,yes,yes
exp_acyclic_depvary_step3_batch_yyy06.pl,x5,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,c6,no,no
exp_acyclic_depvary_step3_batch_yyy06.pl,b5,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,w2,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,q5,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,c2,yes,yes
exp_acyclic_depvary_step3_batch_yyy07.pl,x2,yes,yes
exp_acyclic_depvary_step3_batch_yyy07.pl,e4,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,a1,yes,yes
exp_acyclic_depvary_step3_batch_yyy07.pl,t4,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,s3,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,r3,no,no
exp_acyclic_depvary_step3_batch_yyy07.pl,q1,no,no
exp_acyclic_depvary_step3_batch_yyy08.pl,d4,no,no
exp_acyclic_depvary_step3_batch_yyy08.pl,w2,yes,no
