instance,goal
exp_acyclic_depvary_step10_batch_yyy01.pl,w2
exp_acyclic_depvary_step10_batch_yyy01.pl,w5
exp_acyclic_depvary_step10_batch_yyy01.pl,q4
exp_acyclic_depvary_step10_batch_yyy01.pl,x5
exp_acyclic_depvary_step10_batch_yyy01.pl,z3
exp_acyclic_depvary_step10_batch_yyy01.pl,u2
exp_acyclic_depvary_step10_batch_yyy01.pl,t4
exp_acyclic_depvary_step10_batch_yyy01.pl,c4
exp_acyclic_depvary_step10_batch_yyy01.pl,u3
exp_acyclic_depvary_step10_batch_yyy01.pl,v4
exp_acyclic_depvary_step10_batch_yyy02.pl,p5
exp_acyclic_depvary_step10_batch_yyy02.pl,c5
exp_acyclic_depvary_step10_batch_yyy02.pl,q4
exp_acyclic_depvary_step10_batch_yyy02.pl,a4
exp_acyclic_depvary_step10_batch_yyy02.pl,r5
exp_acyclic_depvary_step10_batch_yyy02.pl,w4
exp_acyclic_depvary_step10_batch_yyy02.pl,b6
exp_acyclic_depvary_step10_batch_yyy02.pl,p1
exp_acyclic_depvary_step10_batch_yyy02.pl,u3
exp_acyclic_depvary_step10_batch_yyy02.pl,e3
exp_acyclic_depvary_step10_batch_yyy03.pl,s3
exp_acyclic_depvary_step10_batch_yyy03.pl,y4
exp_acyclic_depvary_step10_batch_yyy03.pl,x2
exp_acyclic_depvary_step10_batch_yyy03.pl,e4
exp_acyclic_depvary_step10_batch_yyy03.pl,f3
exp_acyclic_depvary_step10_batch_yyy03.pl,u3
exp_acyclic_depvary_step10_batch_yyy03.pl,f4
exp_acyclic_depvary_step10_batch_yyy03.pl,w3
exp_acyclic_depvary_step10_batch_yyy03.pl,v1
exp_acyclic_depvary_step10_batch_yyy03.pl,p3
exp_acyclic_depvary_step10_batch_yyy04.pl,t4
exp_acyclic_depvary_step10_batch_yyy04.pl,s5
exp_acyclic_depvary_step10_batch_yyy04.pl,q4
exp_acyclic_depvary_step10_batch_yyy04.pl,e4
exp_acyclic_depvary_step10_batch_yyy04.pl,w1
exp_acyclic_depvary_step10_batch_yyy04.pl,y1
exp_acyclic_depvary_step10_batch_yyy04.pl,p2
exp_acyclic_depvary_step10_batch_yyy04.pl,r2
exp_acyclic_depvary_step10_batch_yyy04.pl,a4
exp_acyclic_depvary_step10_batch_yyy04.pl,x2
exp_acyclic_depvary_step10_batch_yyy05.pl,c3
exp_acyclic_depvary_step10_batch_yyy05.pl,e1
exp_acyclic_depvary_step10_batch_yyy05.pl,f5
exp_acyclic_depvary_step10_batch_yyy05.pl,y3
exp_acyclic_depvary_step10_batch_yyy05.pl,r4
exp_acyclic_depvary_step10_batch_yyy05.pl,p1
exp_acyclic_depvary_step10_batch_yyy05.pl,c2
exp_acyclic_depvary_step10_batch_yyy05.pl,b1
exp_acyclic_depvary_step10_batch_yyy05.pl,u2
exp_acyclic_depvary_step10_batch_yyy05.pl,t1
exp_acyclic_depvary_step10_batch_yyy06.pl,y4
exp_acyclic_depvary_step10_batch_yyy06.pl,t3
exp_acyclic_depvary_step10_batch_yyy06.pl,a5
exp_acyclic_depvary_step10_batch_yyy06.pl,q4
exp_acyclic_depvary_step10_batch_yyy06.pl,f5
exp_acyclic_depvary_step10_batch_yyy06.pl,z4
exp_acyclic_depvary_step10_batch_yyy06.pl,c1
exp_acyclic_depvary_step10_batch_yyy06.pl,r4
exp_acyclic_depvary_step10_batch_yyy06.pl,y1
exp_acyclic_depvary_step10_batch_yyy06.pl,p1
exp_acyclic_depvary_step10_batch_yyy07.pl,d4
exp_acyclic_depvary_step10_batch_yyy07.pl,u4
exp_acyclic_depvary_step10_batch_yyy07.pl,b4
exp_acyclic_depvary_step10_batch_yyy07.pl,z4
exp_acyclic_depvary_step10_batch_yyy07.pl,y1
exp_acyclic_depvary_step10_batch_yyy07.pl,r2
exp_acyclic_depvary_step10_batch_yyy07.pl,u2
exp_acyclic_depvary_step10_batch_yyy07.pl,a6
exp_acyclic_depvary_step10_batch_yyy07.pl,b3
exp_acyclic_depvary_step10_batch_yyy07.pl,y4
exp_acyclic_depvary_step10_batch_yyy08.pl,c3
exp_acyclic_depvary_step10_batch_yyy08.pl,e1
exp_acyclic_depvary_step10_batch_yyy08.pl,v5
exp_acyclic_depvary_step10_batch_yyy08.pl,a5
exp_acyclic_depvary_step10_batch_yyy08.pl,a4
exp_acyclic_depvary_step10_batch_yyy08.pl,z2
exp_acyclic_depvary_step10_batch_yyy08.pl,q3
exp_acyclic_depvary_step10_batch_yyy08.pl,t1
exp_acyclic_depvary_step10_batch_yyy08.pl,z4
exp_acyclic_depvary_step10_batch_yyy08.pl,r5
exp_acyclic_depvary_step10_batch_yyy09.pl,b2
exp_acyclic_depvary_step10_batch_yyy09.pl,y4
exp_acyclic_depvary_step10_batch_yyy09.pl,t3
exp_acyclic_depvary_step10_batch_yyy09.pl,z1
exp_acyclic_depvary_step10_batch_yyy09.pl,f5
exp_acyclic_depvary_step10_batch_yyy09.pl,z4
exp_acyclic_depvary_step10_batch_yyy09.pl,e3
exp_acyclic_depvary_step10_batch_yyy09.pl,y1
exp_acyclic_depvary_step10_batch_yyy09.pl,a3
exp_acyclic_depvary_step10_batch_yyy09.pl,q2
exp_acyclic_depvary_step10_batch_yyy10.pl,d5
exp_acyclic_depvary_step10_batch_yyy10.pl,a6
exp_acyclic_depvary_step10_batch_yyy10.pl,v2
exp_acyclic_depvary_step10_batch_yyy10.pl,x3
exp_acyclic_depvary_step10_batch_yyy10.pl,x2
exp_acyclic_depvary_step10_batch_yyy10.pl,y3
exp_acyclic_depvary_step10_batch_yyy10.pl,b5
exp_acyclic_depvary_step10_batch_yyy10.pl,e3
exp_acyclic_depvary_step10_batch_yyy10.pl,x1
exp_acyclic_depvary_step10_batch_yyy10.pl,r3
exp_acyclic_depvary_step1_batch_yyy01.pl,u5
exp_acyclic_depvary_step1_batch_yyy01.pl,s4
exp_acyclic_depvary_step1_batch_yyy01.pl,d3
exp_acyclic_depvary_step1_batch_yyy01.pl,q5
exp_acyclic_depvary_step1_batch_yyy01.pl,z4
exp_acyclic_depvary_step1_batch_yyy01.pl,s1
exp_acyclic_depvary_step1_batch_yyy01.pl,z3
exp_acyclic_depvary_step1_batch_yyy01.pl,u2
exp_acyclic_depvary_step1_batch_yyy01.pl,c5
exp_acyclic_depvary_step1_batch_yyy01.pl,b1
exp_acyclic_depvary_step1_batch_yyy02.pl,y4
exp_acyclic_depvary_step1_batch_yyy02.pl,z5
exp_acyclic_depvary_step1_batch_yyy02.pl,x3
exp_acyclic_depvary_step1_batch_yyy02.pl,q4
exp_acyclic_depvary_step1_batch_yyy02.pl,x2
exp_acyclic_depvary_step1_batch_yyy02.pl,c6
exp_acyclic_depvary_step1_batch_yyy02.pl,d2
exp_acyclic_depvary_step1_batch_yyy02.pl,y2
exp_acyclic_depvary_step1_batch_yyy02.pl,e2
exp_acyclic_depvary_step1_batch_yyy02.pl,q2
exp_acyclic_depvary_step1_batch_yyy03.pl,u4
exp_acyclic_depvary_step1_batch_yyy03.pl,b1
exp_acyclic_depvary_step1_batch_yyy03.pl,x2
exp_acyclic_depvary_step1_batch_yyy03.pl,r5
exp_acyclic_depvary_step1_batch_yyy03.pl,x4
exp_acyclic_depvary_step1_batch_yyy03.pl,q2
exp_acyclic_depvary_step1_batch_yyy03.pl,c6
exp_acyclic_depvary_step1_batch_yyy03.pl,z2
exp_acyclic_depvary_step1_batch_yyy03.pl,v4
exp_acyclic_depvary_step1_batch_yyy03.pl,e3
exp_acyclic_depvary_step1_batch_yyy04.pl,u4
exp_acyclic_depvary_step1_batch_yyy04.pl,p3
exp_acyclic_depvary_step1_batch_yyy04.pl,v4
exp_acyclic_depvary_step1_batch_yyy04.pl,r1
exp_acyclic_depvary_step1_batch_yyy04.pl,a3
exp_acyclic_depvary_step1_batch_yyy04.pl,p1
